,open,high,low,close,volume
2026-04-23 22:00:00+00:00,86.66,87.16,86.33,87.03,2566.0
2026-04-23 23:00:00+00:00,87.04,87.04,87.04,87.04,248.0
2026-04-24 16:00:00+00:00,87.3,89.44,87.23,89.08,1310.0
2026-04-24 17:00:00+00:00,89.1,89.1,88.22,88.7,1090.0
2026-04-24 18:00:00+00:00,88.69,88.91,88.27,88.77,905.0
2026-04-24 19:00:00+00:00,88.76,88.89,88.47,88.89,509.0
2026-04-24 20:00:00+00:00,88.89,89.22,88.52,89.21,561.0
2026-04-24 21:00:00+00:00,89.2,89.76,89.16,89.68,1231.0
2026-04-24 22:00:00+00:00,89.66,90.07,89.59,89.89,2421.0
2026-04-24 23:00:00+00:00,89.9,89.9,89.9,89.9,277.0
