,open,high,low,close,volume
2026-04-23 22:50:00+00:00,86.66,86.67,86.43,86.45,71.0
2026-04-23 22:51:00+00:00,86.43,86.53,86.33,86.43,157.0
2026-04-23 22:52:00+00:00,86.43,86.57,86.43,86.57,76.0
2026-04-23 22:53:00+00:00,86.57,86.71,86.56,86.71,83.0
2026-04-23 22:54:00+00:00,86.71,86.82,86.66,86.82,94.0
2026-04-23 22:55:00+00:00,86.83,87.12,86.83,87.04,178.0
2026-04-23 22:56:00+00:00,87.03,87.16,86.95,87.03,247.0
2026-04-23 22:57:00+00:00,87.01,87.11,86.91,87.1,369.0
2026-04-23 22:58:00+00:00,87.1,87.16,87.08,87.08,434.0
2026-04-23 22:59:00+00:00,87.08,87.09,86.93,87.03,857.0
2026-04-23 23:00:00+00:00,87.04,87.04,87.04,87.04,248.0
2026-04-24 16:30:00+00:00,87.3,88.53,87.23,88.38,92.0
2026-04-24 16:31:00+00:00,88.14,88.43,87.97,88.07,38.0
2026-04-24 16:32:00+00:00,88.3,88.3,87.96,87.98,93.0
2026-04-24 16:33:00+00:00,88.11,88.11,87.81,87.96,15.0
2026-04-24 16:34:00+00:00,87.71,88.15,87.71,88.1,25.0
2026-04-24 16:35:00+00:00,88.1,88.1,88.09,88.1,81.0
2026-04-24 16:36:00+00:00,88.11,88.53,88.11,88.36,123.0
2026-04-24 16:37:00+00:00,88.47,88.68,88.46,88.46,85.0
2026-04-24 16:38:00+00:00,88.52,88.52,88.24,88.24,17.0
2026-04-24 16:39:00+00:00,88.29,88.34,88.19,88.32,36.0
2026-04-24 16:40:00+00:00,88.34,88.7,88.34,88.59,118.0
2026-04-24 16:41:00+00:00,88.63,88.96,88.57,88.7,34.0
2026-04-24 16:42:00+00:00,88.55,88.87,88.54,88.87,28.0
2026-04-24 16:43:00+00:00,88.84,88.84,88.75,88.83,12.0
2026-04-24 16:44:00+00:00,88.83,89.09,88.67,89.09,94.0
2026-04-24 16:45:00+00:00,88.92,88.99,88.85,88.92,17.0
2026-04-24 16:46:00+00:00,88.92,88.92,88.66,88.67,27.0
2026-04-24 16:47:00+00:00,88.65,88.76,88.59,88.69,40.0
2026-04-24 16:48:00+00:00,88.79,88.88,88.76,88.84,32.0
2026-04-24 16:49:00+00:00,88.84,88.98,88.84,88.98,18.0
2026-04-24 16:50:00+00:00,89.0,89.16,88.98,89.16,21.0
2026-04-24 16:51:00+00:00,89.2,89.2,89.02,89.13,57.0
2026-04-24 16:52:00+00:00,89.18,89.24,89.15,89.24,31.0
2026-04-24 16:53:00+00:00,89.18,89.39,89.17,89.25,36.0
2026-04-24 16:54:00+00:00,89.3,89.44,89.28,89.38,36.0
2026-04-24 16:55:00+00:00,89.42,89.42,89.18,89.23,33.0
2026-04-24 16:56:00+00:00,89.26,89.26,89.14,89.18,18.0
2026-04-24 16:57:00+00:00,89.18,89.25,89.18,89.18,5.0
2026-04-24 16:58:00+00:00,89.1,89.19,88.95,88.95,36.0
2026-04-24 16:59:00+00:00,89.05,89.08,88.98,89.08,12.0
2026-04-24 17:00:00+00:00,89.1,89.1,88.87,88.99,16.0
2026-04-24 17:01:00+00:00,88.95,88.95,88.72,88.77,32.0
2026-04-24 17:02:00+00:00,88.74,88.74,88.51,88.59,24.0
2026-04-24 17:03:00+00:00,88.56,88.58,88.5,88.58,16.0
2026-04-24 17:04:00+00:00,88.65,88.65,88.39,88.49,18.0
2026-04-24 17:05:00+00:00,88.49,88.53,88.45,88.49,8.0
2026-04-24 17:06:00+00:00,88.47,88.53,88.44,88.44,9.0
2026-04-24 17:07:00+00:00,88.44,88.44,88.35,88.39,23.0
2026-04-24 17:08:00+00:00,88.39,88.54,88.39,88.54,11.0
2026-04-24 17:09:00+00:00,88.57,88.71,88.56,88.64,43.0
2026-04-24 17:10:00+00:00,88.6,88.6,88.54,88.54,6.0
2026-04-24 17:11:00+00:00,88.56,88.56,88.55,88.55,6.0
2026-04-24 17:12:00+00:00,88.56,88.77,88.56,88.75,27.0
2026-04-24 17:13:00+00:00,88.74,88.79,88.72,88.74,20.0
2026-04-24 17:14:00+00:00,88.74,88.79,88.73,88.79,9.0
2026-04-24 17:15:00+00:00,88.79,88.81,88.75,88.77,9.0
2026-04-24 17:16:00+00:00,88.75,88.79,88.68,88.71,29.0
2026-04-24 17:17:00+00:00,88.67,88.7,88.55,88.55,30.0
2026-04-24 17:18:00+00:00,88.55,88.63,88.5,88.56,8.0
2026-04-24 17:19:00+00:00,88.62,88.71,88.6,88.71,14.0
2026-04-24 17:20:00+00:00,88.75,88.78,88.67,88.67,13.0
2026-04-24 17:21:00+00:00,88.72,88.73,88.63,88.65,23.0
2026-04-24 17:22:00+00:00,88.62,88.62,88.59,88.62,6.0
2026-04-24 17:23:00+00:00,88.63,88.63,88.42,88.42,18.0
2026-04-24 17:24:00+00:00,88.42,88.47,88.32,88.35,37.0
2026-04-24 17:25:00+00:00,88.34,88.37,88.3,88.3,14.0
2026-04-24 17:26:00+00:00,88.29,88.33,88.27,88.29,8.0
2026-04-24 17:27:00+00:00,88.33,88.33,88.32,88.33,9.0
2026-04-24 17:28:00+00:00,88.33,88.43,88.33,88.43,20.0
2026-04-24 17:29:00+00:00,88.41,88.44,88.36,88.39,28.0
2026-04-24 17:30:00+00:00,88.44,88.49,88.43,88.43,15.0
2026-04-24 17:31:00+00:00,88.45,88.45,88.29,88.33,22.0
2026-04-24 17:32:00+00:00,88.29,88.3,88.26,88.3,15.0
2026-04-24 17:33:00+00:00,88.3,88.31,88.3,88.31,3.0
2026-04-24 17:34:00+00:00,88.35,88.46,88.35,88.44,12.0
2026-04-24 17:35:00+00:00,88.41,88.44,88.4,88.4,21.0
2026-04-24 17:36:00+00:00,88.39,88.4,88.31,88.31,18.0
2026-04-24 17:37:00+00:00,88.28,88.29,88.27,88.29,6.0
2026-04-24 17:38:00+00:00,88.31,88.31,88.22,88.28,12.0
2026-04-24 17:39:00+00:00,88.28,88.3,88.24,88.28,14.0
2026-04-24 17:40:00+00:00,88.29,88.31,88.29,88.29,8.0
2026-04-24 17:41:00+00:00,88.29,88.33,88.29,88.32,4.0
2026-04-24 17:42:00+00:00,88.29,88.36,88.28,88.36,27.0
2026-04-24 17:43:00+00:00,88.36,88.39,88.35,88.35,18.0
2026-04-24 17:44:00+00:00,88.4,88.63,88.4,88.63,34.0
2026-04-24 17:45:00+00:00,88.65,88.72,88.54,88.62,62.0
2026-04-24 17:46:00+00:00,88.57,88.64,88.57,88.61,17.0
2026-04-24 17:47:00+00:00,88.54,88.55,88.4,88.42,61.0
2026-04-24 17:48:00+00:00,88.45,88.53,88.45,88.53,10.0
2026-04-24 17:49:00+00:00,88.52,88.53,88.48,88.5,14.0
2026-04-24 17:50:00+00:00,88.49,88.55,88.48,88.55,17.0
2026-04-24 17:51:00+00:00,88.57,88.68,88.55,88.68,24.0
2026-04-24 17:52:00+00:00,88.69,88.77,88.69,88.71,21.0
2026-04-24 17:53:00+00:00,88.71,88.74,88.68,88.68,4.0
2026-04-24 17:54:00+00:00,88.71,88.71,88.61,88.62,13.0
2026-04-24 17:55:00+00:00,88.63,88.68,88.59,88.65,24.0
2026-04-24 17:56:00+00:00,88.63,88.63,88.51,88.55,11.0
