,open,high,low,close,volume
2026-04-15 09:11:00+00:00,6969.0,6969.4,6968.7,6969.0,23.0
2026-04-15 09:12:00+00:00,6969.0,6969.5,6968.5,6969.3,22.0
2026-04-15 09:13:00+00:00,6969.3,6969.3,6969.0,6969.2,24.0
2026-04-15 09:14:00+00:00,6969.2,6969.3,6968.2,6968.6,30.0
2026-04-15 09:15:00+00:00,6968.5,6969.2,6968.0,6969.2,25.0
2026-04-15 09:16:00+00:00,6969.2,6969.8,6969.2,6969.3,45.0
2026-04-15 09:17:00+00:00,6969.3,6969.8,6969.2,6969.5,36.0
2026-04-15 09:18:00+00:00,6969.5,6970.5,6969.2,6970.5,41.0
2026-04-15 09:19:00+00:00,6970.5,6970.5,6970.2,6970.2,18.0
2026-04-15 09:20:00+00:00,6970.2,6970.5,6969.7,6969.7,20.0
2026-04-15 09:21:00+00:00,6969.7,6970.3,6969.7,6970.2,19.0
2026-04-15 09:22:00+00:00,6970.2,6970.5,6970.0,6970.2,13.0
2026-04-15 09:23:00+00:00,6970.2,6970.2,6969.7,6970.0,8.0
2026-04-15 09:24:00+00:00,6970.0,6970.0,6969.5,6969.7,24.0
2026-04-15 09:25:00+00:00,6969.7,6970.5,6969.7,6970.2,18.0
2026-04-15 09:26:00+00:00,6970.2,6970.7,6970.0,6970.5,14.0
2026-04-15 09:27:00+00:00,6970.5,6971.0,6970.5,6970.7,13.0
2026-04-15 09:28:00+00:00,6970.7,6971.2,6970.7,6971.0,14.0
2026-04-15 09:29:00+00:00,6971.0,6971.2,6970.7,6971.0,17.0
2026-04-15 09:30:00+00:00,6971.0,6972.2,6971.0,6972.0,27.0
2026-04-15 09:31:00+00:00,6972.0,6972.5,6971.0,6972.5,27.0
2026-04-15 09:32:00+00:00,6972.5,6972.5,6971.2,6971.5,38.0
2026-04-15 09:33:00+00:00,6971.5,6972.5,6971.5,6972.2,25.0
2026-04-15 09:34:00+00:00,6972.2,6972.2,6971.0,6971.0,9.0
2026-04-15 09:35:00+00:00,6971.0,6971.2,6970.7,6971.0,28.0
2026-04-15 09:36:00+00:00,6971.0,6972.2,6971.0,6972.0,26.0
2026-04-15 09:37:00+00:00,6972.0,6972.2,6971.7,6972.0,14.0
2026-04-15 09:38:00+00:00,6972.0,6972.3,6972.0,6972.2,34.0
2026-04-15 09:39:00+00:00,6972.2,6972.5,6971.7,6971.7,19.0
2026-04-15 09:40:00+00:00,6971.7,6972.0,6971.2,6971.7,30.0
2026-04-15 09:41:00+00:00,6971.7,6972.0,6971.7,6972.0,7.0
2026-04-15 09:42:00+00:00,6972.0,6972.2,6971.5,6971.6,24.0
2026-04-15 09:43:00+00:00,6971.6,6972.0,6971.5,6972.0,14.0
2026-04-15 09:44:00+00:00,6972.0,6972.2,6971.7,6972.2,25.0
2026-04-15 09:45:00+00:00,6972.2,6972.2,6971.5,6972.0,18.0
2026-04-15 09:46:00+00:00,6972.0,6972.2,6971.0,6971.5,12.0
2026-04-15 09:47:00+00:00,6971.5,6971.8,6971.3,6971.7,17.0
2026-04-15 09:48:00+00:00,6971.7,6971.9,6971.5,6971.5,15.0
2026-04-15 09:49:00+00:00,6971.5,6972.2,6971.5,6972.0,17.0
2026-04-15 09:50:00+00:00,6972.0,6972.1,6971.0,6971.2,21.0
2026-04-15 09:51:00+00:00,6971.2,6971.2,6970.3,6971.2,25.0
2026-04-15 09:52:00+00:00,6971.2,6971.7,6971.2,6971.7,23.0
2026-04-15 09:53:00+00:00,6971.7,6972.2,6971.5,6972.0,25.0
2026-04-15 09:54:00+00:00,6972.0,6972.2,6971.5,6971.7,30.0
2026-04-15 09:55:00+00:00,6971.7,6971.7,6968.2,6970.8,20.0
2026-04-15 09:56:00+00:00,6970.8,6971.0,6970.1,6970.2,28.0
2026-04-15 09:57:00+00:00,6970.2,6970.2,6969.7,6969.7,14.0
2026-04-15 09:58:00+00:00,6969.7,6970.0,6966.8,6969.7,23.0
2026-04-15 09:59:00+00:00,6969.7,6970.2,6969.7,6970.2,22.0
2026-04-15 10:00:00+00:00,6970.1,6970.7,6969.2,6969.5,54.0
2026-04-15 10:01:00+00:00,6969.5,6969.7,6968.3,6968.6,48.0
2026-04-15 10:02:00+00:00,6968.5,6969.5,6968.0,6969.2,59.0
2026-04-15 10:03:00+00:00,6969.2,6969.2,6968.2,6969.0,42.0
2026-04-15 10:04:00+00:00,6969.0,6970.0,6968.7,6970.0,48.0
2026-04-15 10:05:00+00:00,6970.2,6970.7,6970.0,6970.5,45.0
2026-04-15 10:06:00+00:00,6970.5,6970.7,6969.5,6970.2,36.0
2026-04-15 10:07:00+00:00,6970.2,6970.5,6969.8,6970.0,46.0
2026-04-15 10:08:00+00:00,6970.0,6970.7,6970.0,6970.7,33.0
2026-04-15 10:09:00+00:00,6970.7,6970.7,6970.2,6970.2,25.0
2026-04-15 10:10:00+00:00,6970.2,6970.7,6969.5,6970.7,23.0
2026-04-15 10:11:00+00:00,6970.7,6970.7,6967.3,6970.2,16.0
2026-04-15 10:12:00+00:00,6970.2,6970.7,6970.0,6970.5,27.0
2026-04-15 10:13:00+00:00,6970.5,6970.5,6969.7,6970.0,28.0
2026-04-15 10:14:00+00:00,6970.0,6970.3,6969.7,6970.0,37.0
2026-04-15 10:15:00+00:00,6970.0,6970.2,6969.2,6969.2,27.0
2026-04-15 10:16:00+00:00,6969.2,6969.2,6968.2,6969.0,48.0
2026-04-15 10:17:00+00:00,6969.0,6969.0,6967.2,6967.6,41.0
2026-04-15 10:18:00+00:00,6967.6,6968.2,6966.7,6966.7,33.0
2026-04-15 10:19:00+00:00,6966.7,6967.5,6966.6,6967.3,37.0
2026-04-15 10:20:00+00:00,6967.3,6968.2,6967.2,6967.7,28.0
2026-04-15 10:21:00+00:00,6967.7,6969.0,6967.2,6968.5,39.0
