timestamp_utc,sym,score_trend,score_momentum,score_acceleration,score_volatility,score_structure,trend_daily,trend_weekly,trend_monthly,rsi,macd_hist,macd_cross,bb_pct,bb_squeeze,atr,atr_pct,volume_ratio,nearest_support,nearest_resistance,patterns,composite_score,confidence,direction,rt_momentum,delta_aligned,alignment_score,signal_emitted,rejection_gate,entry_price,stop_loss,tp1,tp2,rr_ratio
2026-04-25T07:48:14.951538+00:00,US30,0.1702,0.2223,0.3181,0.2115,0.5,NEUTRAL,NEUTRAL,NEUTRAL,54.45,2.25989,NONE,0.6058,False,14.20915,0.000289,2.005,49136.18868,49452.03,ASCENDING_TRIANGLE,0.6422,0.2844,1,0.936017,True,0.468,False,CONFIDENCE,,,,,
2026-04-25T07:48:15.109837+00:00,US500,0.1147,0.1005,0.3516,-0.0361,0.2382,NEUTRAL,NEUTRAL,NEUTRAL,52.01,0.38178,NONE,0.5903,True,2.17191,0.000303,2.256,7143.85714,7201.7295,ASCENDING_TRIANGLE,0.5631,0.1261,0,0.897829,False,,False,CONFIDENCE,,,,,
2026-04-25T07:48:15.225746+00:00,NDAQ,0.3,0.0783,0.1433,0.1101,-0.5,NEUTRAL,NEUTRAL,NEUTRAL,51.57,0.00652,NONE,0.5551,False,0.09097,0.001012,5.206,89.50273,89.92857,ASCENDING_TRIANGLE,0.5132,0.0263,0,1.231176,False,,False,CONFIDENCE,,,,,
2026-04-25T07:48:37.344443+00:00,US30,0.1702,0.2223,0.3181,0.2115,0.5,NEUTRAL,NEUTRAL,NEUTRAL,54.45,2.25989,NONE,0.6058,False,14.20915,0.000289,2.005,49136.18868,49452.03,ASCENDING_TRIANGLE,0.6422,0.2844,1,0.936017,True,0.468,False,CONFIDENCE,,,,,
2026-04-25T07:48:37.489815+00:00,US500,0.1147,0.1005,0.3516,-0.0361,0.2382,NEUTRAL,NEUTRAL,NEUTRAL,52.01,0.38178,NONE,0.5903,True,2.17191,0.000303,2.256,7143.85714,7201.7295,ASCENDING_TRIANGLE,0.5631,0.1261,0,0.897829,False,,False,CONFIDENCE,,,,,
2026-04-25T07:48:37.603435+00:00,NDAQ,0.3,0.0783,0.1433,0.1101,-0.5,NEUTRAL,NEUTRAL,NEUTRAL,51.57,0.00652,NONE,0.5551,False,0.09097,0.001012,5.206,89.50273,89.92857,ASCENDING_TRIANGLE,0.5132,0.0263,0,1.231176,False,,False,CONFIDENCE,,,,,
2026-04-25T07:48:45.524137+00:00,US30,0.1702,0.2223,0.3181,0.2115,0.5,NEUTRAL,NEUTRAL,NEUTRAL,54.45,2.25989,NONE,0.6058,False,14.20915,0.000289,2.005,49136.18868,49452.03,ASCENDING_TRIANGLE,0.6422,0.2844,1,0.936017,True,0.468,False,CONFIDENCE,,,,,
2026-04-25T07:48:45.808311+00:00,US500,0.1147,0.1005,0.3516,-0.0361,0.2382,NEUTRAL,NEUTRAL,NEUTRAL,52.01,0.38178,NONE,0.5903,True,2.17191,0.000303,2.256,7143.85714,7201.7295,ASCENDING_TRIANGLE,0.5631,0.1261,0,0.897829,False,,False,CONFIDENCE,,,,,
2026-04-25T07:48:45.949490+00:00,NDAQ,0.3,0.0783,0.1433,0.1101,-0.5,NEUTRAL,NEUTRAL,NEUTRAL,51.57,0.00652,NONE,0.5551,False,0.09097,0.001012,5.206,89.50273,89.92857,ASCENDING_TRIANGLE,0.5132,0.0263,0,1.231176,False,,False,CONFIDENCE,,,,,
2026-04-25T07:49:07.802182+00:00,US30,0.1702,0.2223,0.3181,0.2115,0.5,NEUTRAL,NEUTRAL,NEUTRAL,54.45,2.25989,NONE,0.6058,False,14.20915,0.000289,2.005,49136.18868,49452.03,ASCENDING_TRIANGLE,0.6422,0.2844,1,0.936017,True,0.468,False,CONFIDENCE,,,,,
2026-04-25T07:49:07.957340+00:00,US500,0.1147,0.1005,0.3516,-0.0361,0.2382,NEUTRAL,NEUTRAL,NEUTRAL,52.01,0.38178,NONE,0.5903,True,2.17191,0.000303,2.256,7143.85714,7201.7295,ASCENDING_TRIANGLE,0.5631,0.1261,0,0.897829,False,,False,CONFIDENCE,,,,,
2026-04-25T07:49:08.118724+00:00,NDAQ,0.3,0.0783,0.1433,0.1101,-0.5,NEUTRAL,NEUTRAL,NEUTRAL,51.57,0.00652,NONE,0.5551,False,0.09097,0.001012,5.206,89.50273,89.92857,ASCENDING_TRIANGLE,0.5132,0.0263,0,1.231176,False,,False,CONFIDENCE,,,,,
2026-04-25T07:49:16.175054+00:00,US30,0.1702,0.2223,0.3181,0.2115,0.5,NEUTRAL,NEUTRAL,NEUTRAL,54.45,2.25989,NONE,0.6058,False,14.20915,0.000289,2.005,49136.18868,49452.03,ASCENDING_TRIANGLE,0.6422,0.2844,1,0.936017,True,0.468,False,CONFIDENCE,,,,,
2026-04-25T07:49:16.347089+00:00,US500,0.1147,0.1005,0.3516,-0.0361,0.2382,NEUTRAL,NEUTRAL,NEUTRAL,52.01,0.38178,NONE,0.5903,True,2.17191,0.000303,2.256,7143.85714,7201.7295,ASCENDING_TRIANGLE,0.5631,0.1261,0,0.897829,False,,False,CONFIDENCE,,,,,
2026-04-25T07:49:16.443101+00:00,NDAQ,0.3,0.0783,0.1433,0.1101,-0.5,NEUTRAL,NEUTRAL,NEUTRAL,51.57,0.00652,NONE,0.5551,False,0.09097,0.001012,5.206,89.50273,89.92857,ASCENDING_TRIANGLE,0.5132,0.0263,0,1.231176,False,,False,CONFIDENCE,,,,,
2026-04-25T07:49:38.383691+00:00,US30,0.1702,0.2223,0.3181,0.2115,0.5,NEUTRAL,NEUTRAL,NEUTRAL,54.45,2.25989,NONE,0.6058,False,14.20915,0.000289,2.005,49136.18868,49452.03,ASCENDING_TRIANGLE,0.6422,0.2844,1,0.936017,True,0.468,False,CONFIDENCE,,,,,
2026-04-25T07:49:38.518380+00:00,US500,0.1147,0.1005,0.3516,-0.0361,0.2382,NEUTRAL,NEUTRAL,NEUTRAL,52.01,0.38178,NONE,0.5903,True,2.17191,0.000303,2.256,7143.85714,7201.7295,ASCENDING_TRIANGLE,0.5631,0.1261,0,0.897829,False,,False,CONFIDENCE,,,,,
2026-04-25T07:49:38.642704+00:00,NDAQ,0.3,0.0783,0.1433,0.1101,-0.5,NEUTRAL,NEUTRAL,NEUTRAL,51.57,0.00652,NONE,0.5551,False,0.09097,0.001012,5.206,89.50273,89.92857,ASCENDING_TRIANGLE,0.5132,0.0263,0,1.231176,False,,False,CONFIDENCE,,,,,
2026-04-25T07:49:46.652693+00:00,US30,0.1702,0.2223,0.3181,0.2115,0.5,NEUTRAL,NEUTRAL,NEUTRAL,54.45,2.25989,NONE,0.6058,False,14.20915,0.000289,2.005,49136.18868,49452.03,ASCENDING_TRIANGLE,0.6422,0.2844,1,0.936017,True,0.468,False,CONFIDENCE,,,,,
2026-04-25T07:49:46.838742+00:00,US500,0.1147,0.1005,0.3516,-0.0361,0.2382,NEUTRAL,NEUTRAL,NEUTRAL,52.01,0.38178,NONE,0.5903,True,2.17191,0.000303,2.256,7143.85714,7201.7295,ASCENDING_TRIANGLE,0.5631,0.1261,0,0.897829,False,,False,CONFIDENCE,,,,,
2026-04-25T07:49:46.970757+00:00,NDAQ,0.3,0.0783,0.1433,0.1101,-0.5,NEUTRAL,NEUTRAL,NEUTRAL,51.57,0.00652,NONE,0.5551,False,0.09097,0.001012,5.206,89.50273,89.92857,ASCENDING_TRIANGLE,0.5132,0.0263,0,1.231176,False,,False,CONFIDENCE,,,,,
