,open,high,low,close,volume
2026-04-16 08:57:00+00:00,8945.6,8946.8,8945.6,8946.6,23.0
2026-04-16 08:58:00+00:00,8946.7,8947.9,8946.7,8947.8,18.0
2026-04-16 08:59:00+00:00,8947.8,8947.9,8945.8,8947.8,48.0
2026-04-16 09:00:00+00:00,8947.7,8951.5,8946.2,8946.5,56.0
2026-04-16 09:01:00+00:00,8946.6,8947.6,8945.6,8947.6,50.0
2026-04-16 09:02:00+00:00,8947.5,8948.7,8946.8,8948.7,20.0
2026-04-16 09:03:00+00:00,8949.2,8949.2,8945.6,8945.6,37.0
2026-04-16 09:04:00+00:00,8945.6,8945.7,8944.3,8944.7,40.0
2026-04-16 09:05:00+00:00,8945.1,8946.6,8944.6,8946.6,45.0
2026-04-16 09:06:00+00:00,8946.7,8948.8,8946.5,8948.7,48.0
2026-04-16 09:07:00+00:00,8948.6,8950.7,8948.4,8948.4,67.0
2026-04-16 09:08:00+00:00,8948.4,8948.7,8947.6,8948.6,30.0
2026-04-16 09:09:00+00:00,8948.6,8952.1,8948.4,8949.5,68.0
2026-04-16 09:10:00+00:00,8949.5,8951.9,8948.9,8951.2,82.0
2026-04-16 09:11:00+00:00,8950.9,8950.9,8949.8,8950.6,14.0
2026-04-16 09:12:00+00:00,8950.6,8951.9,8949.6,8951.7,20.0
2026-04-16 09:13:00+00:00,8951.7,8952.7,8950.8,8952.6,37.0
2026-04-16 09:14:00+00:00,8952.6,8952.9,8951.7,8952.8,33.0
2026-04-16 09:15:00+00:00,8952.7,8953.2,8951.6,8952.8,21.0
2026-04-16 09:16:00+00:00,8952.8,8953.2,8950.8,8953.2,24.0
2026-04-16 09:17:00+00:00,8953.3,8954.8,8952.9,8954.7,17.0
2026-04-16 09:18:00+00:00,8954.7,8956.5,8954.6,8956.5,32.0
2026-04-16 09:19:00+00:00,8956.5,8956.8,8954.6,8954.6,31.0
2026-04-16 09:20:00+00:00,8954.6,8954.6,8952.2,8952.5,28.0
2026-04-16 09:21:00+00:00,8952.5,8953.2,8951.3,8951.6,45.0
2026-04-16 09:22:00+00:00,8951.7,8952.6,8949.5,8949.5,42.0
2026-04-16 09:23:00+00:00,8949.6,8950.5,8948.9,8949.7,33.0
2026-04-16 09:24:00+00:00,8949.7,8951.7,8949.5,8951.5,45.0
2026-04-16 09:25:00+00:00,8951.5,8952.8,8949.3,8952.7,61.0
2026-04-16 09:26:00+00:00,8952.8,8954.3,8951.7,8951.9,69.0
2026-04-16 09:27:00+00:00,8951.8,8951.9,8950.5,8950.6,49.0
2026-04-16 09:28:00+00:00,8950.6,8952.2,8949.6,8950.9,63.0
2026-04-16 09:29:00+00:00,8951.2,8953.3,8950.9,8951.7,55.0
2026-04-16 09:30:00+00:00,8946.6,8947.6,8946.6,8947.6,2.0
2026-04-16 09:31:00+00:00,8948.6,8950.6,8946.6,8946.6,15.0
2026-04-16 09:32:00+00:00,8946.6,8948.6,8946.6,8947.6,6.0
2026-04-16 09:33:00+00:00,8948.6,8948.6,8946.6,8946.6,7.0
2026-04-16 09:34:00+00:00,8946.6,8946.6,8946.6,8946.6,1.0
2026-04-16 09:35:00+00:00,8947.6,8948.6,8947.6,8948.6,4.0
2026-04-16 09:36:00+00:00,8947.6,8948.6,8947.6,8947.6,13.0
2026-04-16 09:37:00+00:00,8947.6,8947.6,8946.6,8946.6,8.0
2026-04-16 09:38:00+00:00,8946.6,8946.6,8945.6,8945.6,6.0
2026-04-16 09:39:00+00:00,8946.6,8946.6,8944.6,8944.6,3.0
2026-04-16 09:40:00+00:00,8943.6,8944.6,8943.6,8944.6,10.0
2026-04-16 09:41:00+00:00,8943.6,8945.6,8943.6,8944.6,6.0
2026-04-16 09:42:00+00:00,8944.6,8947.6,8944.6,8947.6,8.0
2026-04-16 09:43:00+00:00,8947.6,8947.6,8946.6,8947.6,3.0
2026-04-16 09:44:00+00:00,8947.6,8948.6,8947.6,8947.6,3.0
2026-04-16 09:45:00+00:00,8947.6,8948.6,8947.6,8947.6,11.0
2026-04-16 09:46:00+00:00,8947.6,8948.6,8947.6,8947.6,9.0
2026-04-16 09:47:00+00:00,8947.6,8948.6,8947.6,8947.6,3.0
2026-04-16 09:48:00+00:00,8947.6,8950.6,8947.6,8949.6,5.0
2026-04-16 09:49:00+00:00,8949.6,8950.6,8949.6,8950.6,2.0
2026-04-16 09:50:00+00:00,8949.6,8949.6,8948.6,8948.6,2.0
2026-04-16 09:51:00+00:00,8947.6,8948.6,8946.6,8946.6,6.0
2026-04-16 09:52:00+00:00,8946.6,8947.6,8946.6,8946.6,5.0
2026-04-16 09:53:00+00:00,8946.6,8946.6,8945.6,8945.6,8.0
2026-04-16 09:54:00+00:00,8945.6,8946.6,8945.6,8945.6,5.0
2026-04-16 09:55:00+00:00,8944.6,8945.6,8944.6,8944.6,9.0
2026-04-16 09:56:00+00:00,8944.6,8944.6,8944.6,8944.6,1.0
2026-04-16 09:57:00+00:00,8944.6,8945.6,8944.6,8944.6,5.0
2026-04-16 09:58:00+00:00,8944.6,8946.6,8944.6,8945.6,4.0
2026-04-16 09:59:00+00:00,8945.6,8946.6,8944.6,8945.6,7.0
2026-04-16 10:00:00+00:00,8946.6,8946.6,8943.6,8945.6,16.0
2026-04-16 10:01:00+00:00,8946.6,8947.6,8945.6,8945.6,12.0
2026-04-16 10:02:00+00:00,8946.6,8947.6,8943.6,8943.6,14.0
2026-04-16 10:03:00+00:00,8943.6,8944.6,8941.6,8942.6,12.0
2026-04-16 10:04:00+00:00,8941.6,8943.6,8941.6,8942.6,10.0
2026-04-16 10:05:00+00:00,8942.6,8942.6,8939.6,8939.6,16.0
2026-04-16 10:06:00+00:00,8940.6,8941.6,8938.6,8938.6,13.0
2026-04-16 10:07:00+00:00,8939.6,8942.6,8939.6,8941.6,5.0
2026-04-16 10:08:00+00:00,8941.6,8943.6,8941.6,8941.6,11.0
2026-04-16 10:09:00+00:00,8941.6,8943.6,8941.6,8942.6,16.0
2026-04-16 10:10:00+00:00,8948.2,8958.9,8948.2,8957.2,60.0
