,open,high,low,close,volume
2026-04-15 09:10:00+00:00,1.17988,1.17988,1.17954,1.17958,64.0
2026-04-15 09:11:00+00:00,1.17958,1.17962,1.17943,1.17948,67.0
2026-04-15 09:12:00+00:00,1.17947,1.17953,1.1794,1.17947,25.0
2026-04-15 09:13:00+00:00,1.17947,1.17958,1.17939,1.17943,83.0
2026-04-15 09:14:00+00:00,1.17943,1.17948,1.17925,1.17933,57.0
2026-04-15 09:15:00+00:00,1.17933,1.17933,1.17912,1.17921,51.0
2026-04-15 09:16:00+00:00,1.17921,1.17925,1.17906,1.17916,69.0
2026-04-15 09:17:00+00:00,1.17917,1.17919,1.17907,1.1791,75.0
2026-04-15 09:18:00+00:00,1.1791,1.17912,1.17883,1.17893,79.0
2026-04-15 09:19:00+00:00,1.17893,1.17904,1.17889,1.17903,39.0
2026-04-15 09:20:00+00:00,1.17903,1.17907,1.17897,1.17899,40.0
2026-04-15 09:21:00+00:00,1.17899,1.179,1.17887,1.17887,39.0
2026-04-15 09:22:00+00:00,1.17887,1.17909,1.17881,1.17904,54.0
2026-04-15 09:23:00+00:00,1.17904,1.17915,1.17904,1.17913,68.0
2026-04-15 09:24:00+00:00,1.17913,1.17923,1.1791,1.17923,32.0
2026-04-15 09:25:00+00:00,1.17923,1.17933,1.17911,1.17923,65.0
2026-04-15 09:26:00+00:00,1.17923,1.17936,1.17915,1.17924,45.0
2026-04-15 09:27:00+00:00,1.17924,1.17924,1.17911,1.1792,63.0
2026-04-15 09:28:00+00:00,1.1792,1.17927,1.17912,1.17914,64.0
2026-04-15 09:29:00+00:00,1.17914,1.17919,1.17905,1.17914,30.0
2026-04-15 09:30:00+00:00,1.17914,1.17922,1.17908,1.17908,33.0
2026-04-15 09:31:00+00:00,1.17908,1.17908,1.17871,1.17889,110.0
2026-04-15 09:32:00+00:00,1.17889,1.1789,1.17872,1.17885,63.0
2026-04-15 09:33:00+00:00,1.17885,1.17909,1.17882,1.17908,68.0
2026-04-15 09:34:00+00:00,1.17908,1.17908,1.17872,1.17876,52.0
2026-04-15 09:35:00+00:00,1.17876,1.17897,1.17876,1.1789399999999999,36.0
2026-04-15 09:36:00+00:00,1.1789399999999999,1.17904,1.17881,1.17903,58.0
2026-04-15 09:37:00+00:00,1.17904,1.17909,1.17881,1.1789399999999999,43.0
2026-04-15 09:38:00+00:00,1.1789399999999999,1.17896,1.17873,1.1789399999999999,58.0
2026-04-15 09:39:00+00:00,1.17893,1.17898,1.17883,1.17888,36.0
2026-04-15 09:40:00+00:00,1.17886,1.17887,1.17866,1.1787,53.0
2026-04-15 09:41:00+00:00,1.1787,1.17872,1.17861,1.1787,46.0
2026-04-15 09:42:00+00:00,1.1787,1.1787,1.17849,1.17863,58.0
2026-04-15 09:43:00+00:00,1.17863,1.17873,1.17862,1.17868,41.0
2026-04-15 09:44:00+00:00,1.17868,1.17869,1.17851,1.17863,57.0
2026-04-15 09:45:00+00:00,1.17863,1.17872,1.17848,1.1786699999999999,70.0
2026-04-15 09:46:00+00:00,1.17864,1.17869,1.17847,1.17864,89.0
2026-04-15 09:47:00+00:00,1.17864,1.17866,1.17853,1.17862,48.0
2026-04-15 09:48:00+00:00,1.17862,1.17863,1.17853,1.1785700000000001,43.0
2026-04-15 09:49:00+00:00,1.1785700000000001,1.17858,1.17838,1.17848,64.0
2026-04-15 09:50:00+00:00,1.17848,1.17858,1.17842,1.17848,44.0
2026-04-15 09:51:00+00:00,1.17847,1.17859,1.17838,1.17858,46.0
2026-04-15 09:52:00+00:00,1.17858,1.17869,1.17856,1.17859,33.0
2026-04-15 09:53:00+00:00,1.17859,1.17859,1.17843,1.17849,37.0
2026-04-15 09:54:00+00:00,1.17849,1.17854,1.17832,1.17852,45.0
2026-04-15 09:55:00+00:00,1.17852,1.17863,1.17849,1.1786,33.0
2026-04-15 09:56:00+00:00,1.1786,1.1787,1.1785700000000001,1.17862,37.0
2026-04-15 09:57:00+00:00,1.17862,1.17869,1.1785700000000001,1.1785700000000001,52.0
2026-04-15 09:58:00+00:00,1.1785700000000001,1.17868,1.1785700000000001,1.1786,71.0
2026-04-15 09:59:00+00:00,1.1786,1.17863,1.17837,1.17841,70.0
2026-04-15 10:00:00+00:00,1.1784,1.17861,1.17836,1.1785700000000001,145.0
2026-04-15 10:01:00+00:00,1.1785700000000001,1.1786,1.1784,1.17855,80.0
2026-04-15 10:02:00+00:00,1.17854,1.17878,1.17852,1.17878,92.0
2026-04-15 10:03:00+00:00,1.17878,1.17878,1.1785700000000001,1.17873,65.0
2026-04-15 10:04:00+00:00,1.17873,1.17878,1.1786,1.17868,126.0
2026-04-15 10:05:00+00:00,1.17868,1.17882,1.17859,1.1786699999999999,194.0
2026-04-15 10:06:00+00:00,1.1786699999999999,1.17873,1.17847,1.17865,120.0
2026-04-15 10:07:00+00:00,1.17864,1.17871,1.17845,1.17847,92.0
2026-04-15 10:08:00+00:00,1.17847,1.17869,1.17846,1.17859,53.0
2026-04-15 10:09:00+00:00,1.1786,1.17861,1.17843,1.17846,93.0
2026-04-15 10:10:00+00:00,1.17848,1.1786699999999999,1.17843,1.17865,85.0
2026-04-15 10:11:00+00:00,1.17865,1.17868,1.1785,1.17852,122.0
2026-04-15 10:12:00+00:00,1.17852,1.17868,1.17844,1.17865,96.0
2026-04-15 10:13:00+00:00,1.17865,1.1786699999999999,1.17854,1.17859,68.0
2026-04-15 10:14:00+00:00,1.17862,1.17874,1.17858,1.1786,72.0
2026-04-15 10:15:00+00:00,1.1786,1.17866,1.17852,1.1785700000000001,63.0
2026-04-15 10:16:00+00:00,1.1785700000000001,1.1785700000000001,1.1783299999999999,1.17852,83.0
2026-04-15 10:17:00+00:00,1.17852,1.1785700000000001,1.1784,1.17844,82.0
2026-04-15 10:18:00+00:00,1.17844,1.17844,1.17823,1.17825,58.0
2026-04-15 10:19:00+00:00,1.17825,1.17853,1.17824,1.17852,88.0
2026-04-15 10:20:00+00:00,1.17853,1.1786699999999999,1.1784,1.1785700000000001,67.0
2026-04-15 10:21:00+00:00,1.1785700000000001,1.17863,1.1785,1.17859,93.0
2026-04-15 10:22:00+00:00,1.17859,1.17868,1.17845,1.17865,36.0
2026-04-15 10:23:00+00:00,1.17864,1.17865,1.17844,1.1785700000000001,72.0
2026-04-15 10:24:00+00:00,1.17858,1.17875,1.17858,1.1787,50.0
2026-04-15 10:25:00+00:00,1.1787,1.1787,1.17848,1.17858,49.0
2026-04-15 10:26:00+00:00,1.17858,1.17864,1.17852,1.17864,31.0
2026-04-15 10:27:00+00:00,1.17864,1.17872,1.1786,1.17871,33.0
2026-04-15 10:28:00+00:00,1.17872,1.17877,1.17868,1.17873,65.0
2026-04-15 10:29:00+00:00,1.17873,1.17877,1.17868,1.17875,42.0
2026-04-15 10:30:00+00:00,1.17875,1.17878,1.1786,1.17868,62.0
2026-04-15 10:31:00+00:00,1.17868,1.17869,1.17853,1.17868,86.0
2026-04-15 10:32:00+00:00,1.17868,1.17885,1.17868,1.17885,67.0
2026-04-15 10:33:00+00:00,1.17885,1.17895,1.17882,1.17892,60.0
2026-04-15 10:34:00+00:00,1.17892,1.17903,1.17889,1.17892,57.0
2026-04-15 10:35:00+00:00,1.1789100000000001,1.17904,1.1789,1.17898,62.0
2026-04-15 10:36:00+00:00,1.17897,1.17897,1.17887,1.1789,55.0
2026-04-15 10:37:00+00:00,1.1789,1.1789100000000001,1.17877,1.17888,55.0
2026-04-15 10:38:00+00:00,1.17889,1.17893,1.17884,1.17893,32.0
