,open,high,low,close,volume
2026-04-10 00:00:00+00:00,83.04,83.62,82.3,83.16,6650.0
2026-04-13 00:00:00+00:00,82.77,86.22,82.77,86.15,4207.0
2026-04-14 00:00:00+00:00,86.45,87.47,86.38,86.71,6017.0
2026-04-15 00:00:00+00:00,87.25,89.08,87.05,88.55,6426.0
2026-04-16 00:00:00+00:00,88.94,89.21,87.63,88.87,5228.0
2026-04-17 00:00:00+00:00,89.43,89.73,88.05,88.61,6360.0
2026-04-20 00:00:00+00:00,88.56,89.11,87.45,87.78,1789.0
2026-04-21 00:00:00+00:00,88.33,89.4,87.28,87.6,4684.0
2026-04-22 00:00:00+00:00,87.6,88.56,84.88,86.37,9753.0
2026-04-23 00:00:00+00:00,87.86,90.44,86.08,87.04,12975.0
2026-04-24 00:00:00+00:00,87.3,90.07,87.23,89.9,8304.0
2026-04-27 00:00:00+00:00,90.87,90.91,90.3,90.43,2008.0
2026-04-28 00:00:00+00:00,90.71,91.51,89.64,91.31,8672.0
2026-04-29 00:00:00+00:00,91.0,91.44,90.29,91.27,6096.0
2026-05-01 00:00:00+00:00,91.55,91.67,91.32,91.32,1273.0
2026-05-04 00:00:00+00:00,90.57,93.01,90.57,91.3,6849.0
2026-05-05 00:00:00+00:00,89.11,89.31,88.96,89.0,1613.0
2026-05-06 00:00:00+00:00,89.39,90.16,88.59,89.2,16382.0
