,open,high,low,close,volume
2026-04-10 17:00:00+00:00,83.04,83.62,82.74,83.05,681.0
2026-04-10 18:00:00+00:00,83.01,83.04,82.3,82.44,1160.0
2026-04-10 19:00:00+00:00,82.43,83.13,82.43,83.09,837.0
2026-04-10 20:00:00+00:00,83.09,83.09,82.75,82.84,663.0
2026-04-10 21:00:00+00:00,82.82,83.17,82.81,83.17,759.0
2026-04-10 22:00:00+00:00,83.18,83.4,83.02,83.16,2194.0
2026-04-10 23:00:00+00:00,83.16,83.16,83.16,83.16,356.0
2026-04-13 16:00:00+00:00,82.77,84.46,82.77,84.41,294.0
2026-04-13 17:00:00+00:00,84.41,84.87,84.21,84.81,446.0
2026-04-13 18:00:00+00:00,84.86,85.29,84.65,85.12,1213.0
2026-04-13 19:00:00+00:00,85.12,85.68,85.09,85.63,596.0
2026-04-13 22:00:00+00:00,85.69,86.22,85.68,86.13,1444.0
2026-04-13 23:00:00+00:00,86.15,86.15,86.15,86.15,214.0
2026-04-14 16:00:00+00:00,86.45,87.47,86.38,87.14,540.0
2026-04-14 17:00:00+00:00,87.18,87.42,86.66,86.88,1404.0
2026-04-14 18:00:00+00:00,86.85,86.99,86.53,86.75,679.0
2026-04-14 19:00:00+00:00,86.77,86.9,86.66,86.81,494.0
2026-04-14 20:00:00+00:00,86.81,87.1,86.75,86.97,569.0
2026-04-14 21:00:00+00:00,86.94,86.94,86.5,86.57,619.0
2026-04-14 22:00:00+00:00,86.6,86.84,86.56,86.71,1486.0
2026-04-14 23:00:00+00:00,86.71,86.71,86.71,86.71,226.0
2026-04-15 16:00:00+00:00,87.25,88.71,87.05,88.26,768.0
2026-04-15 17:00:00+00:00,88.27,88.63,87.93,88.28,866.0
2026-04-15 18:00:00+00:00,88.26,88.46,88.1,88.27,620.0
2026-04-15 19:00:00+00:00,88.26,88.48,88.15,88.46,529.0
2026-04-15 20:00:00+00:00,88.49,88.9,88.43,88.68,552.0
2026-04-15 21:00:00+00:00,88.69,89.08,88.67,89.04,769.0
2026-04-15 22:00:00+00:00,89.04,89.04,88.49,88.57,2036.0
2026-04-15 23:00:00+00:00,88.55,88.55,88.55,88.55,286.0
2026-04-16 16:00:00+00:00,88.94,89.21,87.99,88.13,356.0
2026-04-16 17:00:00+00:00,88.23,88.23,87.63,87.86,588.0
2026-04-16 18:00:00+00:00,87.84,88.33,87.77,88.33,622.0
2026-04-16 19:00:00+00:00,88.32,88.75,88.32,88.42,381.0
2026-04-16 20:00:00+00:00,88.42,88.68,88.17,88.59,538.0
2026-04-16 21:00:00+00:00,88.59,88.78,88.48,88.74,645.0
2026-04-16 22:00:00+00:00,88.7,89.05,88.6,88.84,1889.0
2026-04-16 23:00:00+00:00,88.87,88.87,88.87,88.87,209.0
2026-04-17 16:00:00+00:00,89.43,89.73,88.51,88.75,608.0
2026-04-17 17:00:00+00:00,88.71,88.99,88.05,88.76,831.0
2026-04-17 18:00:00+00:00,88.76,89.13,88.44,89.06,621.0
2026-04-17 19:00:00+00:00,89.08,89.49,88.93,89.44,673.0
2026-04-17 20:00:00+00:00,89.44,89.46,88.97,89.08,933.0
2026-04-17 21:00:00+00:00,89.08,89.19,88.81,88.94,816.0
2026-04-17 22:00:00+00:00,88.94,88.98,88.57,88.62,1634.0
2026-04-17 23:00:00+00:00,88.61,88.61,88.61,88.61,244.0
2026-04-20 16:00:00+00:00,88.56,89.11,88.53,88.87,470.0
