,open,high,low,close,volume
2026-04-10 17:17:00+00:00,83.04,83.22,83.04,83.22,11.0
2026-04-10 17:18:00+00:00,83.21,83.3,83.21,83.3,6.0
2026-04-10 17:19:00+00:00,83.29,83.39,83.27,83.39,15.0
2026-04-10 17:20:00+00:00,83.36,83.36,83.25,83.25,11.0
2026-04-10 17:21:00+00:00,83.25,83.28,83.25,83.28,11.0
2026-04-10 17:22:00+00:00,83.31,83.31,83.27,83.27,4.0
2026-04-10 17:23:00+00:00,83.24,83.25,83.23,83.25,10.0
2026-04-10 17:24:00+00:00,83.25,83.25,83.18,83.18,8.0
2026-04-10 17:25:00+00:00,83.2,83.22,83.18,83.22,13.0
2026-04-10 17:26:00+00:00,83.21,83.21,83.2,83.2,5.0
2026-04-10 17:27:00+00:00,83.2,83.35,83.17,83.35,38.0
2026-04-10 17:28:00+00:00,83.41,83.44,83.4,83.44,11.0
2026-04-10 17:29:00+00:00,83.44,83.45,83.34,83.36,28.0
2026-04-10 17:30:00+00:00,83.36,83.44,83.36,83.44,12.0
2026-04-10 17:31:00+00:00,83.46,83.5,83.44,83.46,24.0
2026-04-10 17:32:00+00:00,83.44,83.54,83.4,83.5,25.0
2026-04-10 17:33:00+00:00,83.51,83.61,83.51,83.61,6.0
2026-04-10 17:34:00+00:00,83.57,83.62,83.57,83.61,11.0
2026-04-10 17:35:00+00:00,83.53,83.54,83.42,83.48,22.0
2026-04-10 17:36:00+00:00,83.49,83.49,83.41,83.44,17.0
2026-04-10 17:37:00+00:00,83.43,83.44,83.41,83.44,11.0
2026-04-10 17:38:00+00:00,83.43,83.59,83.43,83.49,32.0
2026-04-10 17:39:00+00:00,83.51,83.51,83.42,83.42,9.0
2026-04-10 17:40:00+00:00,83.38,83.46,83.38,83.45,7.0
2026-04-10 17:41:00+00:00,83.59,83.61,83.5,83.51,21.0
2026-04-10 17:42:00+00:00,83.48,83.54,83.42,83.42,23.0
2026-04-10 17:43:00+00:00,83.41,83.48,83.41,83.48,5.0
2026-04-10 17:44:00+00:00,83.43,83.47,83.42,83.46,23.0
2026-04-10 17:45:00+00:00,83.43,83.43,83.38,83.38,3.0
2026-04-10 17:46:00+00:00,83.42,83.42,83.23,83.28,27.0
2026-04-10 17:47:00+00:00,83.29,83.34,83.24,83.34,18.0
2026-04-10 17:48:00+00:00,83.31,83.31,83.3,83.3,6.0
2026-04-10 17:49:00+00:00,83.32,83.32,83.27,83.27,6.0
2026-04-10 17:50:00+00:00,83.27,83.27,83.16,83.16,13.0
2026-04-10 17:51:00+00:00,83.16,83.23,83.16,83.17,16.0
2026-04-10 17:52:00+00:00,83.18,83.18,82.97,83.0,14.0
2026-04-10 17:53:00+00:00,82.95,82.95,82.74,82.93,69.0
2026-04-10 17:54:00+00:00,82.96,83.1,82.96,83.06,13.0
2026-04-10 17:55:00+00:00,83.06,83.1,83.0,83.01,21.0
2026-04-10 17:56:00+00:00,83.03,83.06,83.03,83.04,6.0
2026-04-10 17:57:00+00:00,83.05,83.08,82.99,82.99,32.0
2026-04-10 17:58:00+00:00,83.06,83.08,83.05,83.07,8.0
2026-04-10 17:59:00+00:00,83.07,83.07,83.03,83.05,10.0
2026-04-10 18:00:00+00:00,83.01,83.01,82.92,82.92,14.0
2026-04-10 18:01:00+00:00,82.85,82.85,82.68,82.85,21.0
2026-04-10 18:02:00+00:00,82.9,83.03,82.9,82.98,34.0
2026-04-10 18:03:00+00:00,82.98,82.98,82.87,82.87,4.0
2026-04-10 18:04:00+00:00,82.95,83.02,82.94,82.98,29.0
2026-04-10 18:05:00+00:00,82.97,82.97,82.77,82.77,12.0
2026-04-10 18:06:00+00:00,82.71,82.79,82.67,82.77,21.0
2026-04-10 18:07:00+00:00,82.85,83.01,82.85,82.97,16.0
2026-04-10 18:08:00+00:00,83.01,83.01,82.94,82.99,16.0
2026-04-10 18:09:00+00:00,82.99,83.03,82.99,83.02,8.0
2026-04-10 18:10:00+00:00,82.97,82.97,82.97,82.97,13.0
2026-04-10 18:11:00+00:00,83.01,83.04,82.93,82.98,30.0
2026-04-10 18:12:00+00:00,82.94,82.95,82.94,82.95,5.0
2026-04-10 18:13:00+00:00,82.94,82.98,82.92,82.93,9.0
2026-04-10 18:14:00+00:00,82.9,82.95,82.88,82.95,16.0
2026-04-10 18:15:00+00:00,82.92,82.96,82.87,82.95,17.0
2026-04-10 18:16:00+00:00,82.94,82.95,82.92,82.92,4.0
2026-04-10 18:17:00+00:00,82.97,83.0,82.97,82.98,23.0
2026-04-10 18:18:00+00:00,83.02,83.03,83.01,83.03,8.0
2026-04-10 18:19:00+00:00,83.0,83.01,82.82,82.83,32.0
2026-04-10 18:20:00+00:00,82.79,82.82,82.79,82.82,3.0
2026-04-10 18:21:00+00:00,82.8,82.87,82.8,82.85,11.0
2026-04-10 18:22:00+00:00,82.88,82.88,82.83,82.83,20.0
2026-04-10 18:23:00+00:00,82.84,82.84,82.79,82.8,15.0
2026-04-10 18:24:00+00:00,82.8,82.83,82.7,82.72,36.0
2026-04-10 18:25:00+00:00,82.7,82.72,82.68,82.69,24.0
2026-04-10 18:26:00+00:00,82.69,82.69,82.58,82.65,57.0
2026-04-10 18:27:00+00:00,82.65,82.65,82.55,82.57,47.0
2026-04-10 18:28:00+00:00,82.55,82.61,82.53,82.61,28.0
2026-04-10 18:29:00+00:00,82.59,82.63,82.52,82.52,32.0
2026-04-10 18:30:00+00:00,82.58,82.61,82.58,82.59,3.0
2026-04-10 18:31:00+00:00,82.59,82.59,82.55,82.59,13.0
2026-04-10 18:32:00+00:00,82.58,82.63,82.58,82.6,19.0
2026-04-10 18:33:00+00:00,82.6,82.63,82.56,82.63,12.0
2026-04-10 18:34:00+00:00,82.63,82.66,82.62,82.64,31.0
2026-04-10 18:35:00+00:00,82.65,82.8,82.65,82.73,54.0
2026-04-10 18:36:00+00:00,82.71,82.71,82.66,82.66,7.0
2026-04-10 18:37:00+00:00,82.67,82.71,82.62,82.65,32.0
2026-04-10 18:38:00+00:00,82.64,82.68,82.64,82.64,15.0
2026-04-10 18:39:00+00:00,82.63,82.65,82.53,82.53,23.0
2026-04-10 18:40:00+00:00,82.53,82.56,82.47,82.48,30.0
2026-04-10 18:41:00+00:00,82.48,82.54,82.48,82.5,25.0
2026-04-10 18:42:00+00:00,82.5,82.61,82.5,82.6,19.0
2026-04-10 18:43:00+00:00,82.58,82.6,82.58,82.59,13.0
2026-04-10 18:44:00+00:00,82.59,82.6,82.56,82.56,20.0
2026-04-10 18:45:00+00:00,82.52,82.55,82.52,82.55,5.0
2026-04-10 18:46:00+00:00,82.53,82.53,82.52,82.52,7.0
2026-04-10 18:47:00+00:00,82.5,82.5,82.44,82.44,15.0
2026-04-10 18:48:00+00:00,82.41,82.42,82.3,82.36,31.0
2026-04-10 18:49:00+00:00,82.37,82.48,82.37,82.48,21.0
2026-04-10 18:50:00+00:00,82.48,82.48,82.46,82.46,8.0
2026-04-10 18:51:00+00:00,82.44,82.44,82.34,82.4,27.0
2026-04-10 18:52:00+00:00,82.42,82.42,82.39,82.42,12.0
2026-04-10 18:53:00+00:00,82.44,82.47,82.44,82.47,9.0
2026-04-10 18:54:00+00:00,82.47,82.52,82.46,82.46,19.0
2026-04-10 18:55:00+00:00,82.47,82.47,82.46,82.46,13.0
