,open,high,low,close,volume
2026-04-13T11:04:00Z,47683.0,47689.0,47674.0,47688.0,55.0
2026-04-13T11:05:00Z,47688.0,47693.0,47684.0,47689.0,70.0
2026-04-13T11:06:00Z,47689.0,47689.0,47674.0,47676.0,64.0
2026-04-13T11:07:00Z,47676.0,47681.0,47675.0,47679.0,74.0
2026-04-13T11:08:00Z,47679.0,47679.0,47665.0,47667.0,61.0
2026-04-13T11:09:00Z,47667.0,47678.0,47667.0,47675.0,74.0
2026-04-13T11:10:00Z,47676.0,47679.0,47671.0,47678.0,83.0
2026-04-13T11:11:00Z,47678.0,47680.0,47672.0,47675.0,63.0
2026-04-13T11:12:00Z,47675.0,47680.0,47671.0,47674.0,71.0
2026-04-13T11:13:00Z,47674.0,47678.0,47670.0,47677.0,54.0
2026-04-13T11:14:00Z,47677.0,47686.0,47675.0,47680.0,52.0
2026-04-13T11:15:00Z,47680.0,47680.0,47673.0,47677.0,63.0
2026-04-13T11:16:00Z,47676.0,47679.0,47672.0,47677.0,63.0
2026-04-13T11:17:00Z,47677.0,47684.0,47677.0,47683.0,42.0
2026-04-13T11:18:00Z,47683.0,47692.0,47682.0,47692.0,37.0
2026-04-13T11:19:00Z,47692.0,47696.0,47690.0,47693.0,44.0
2026-04-13T11:20:00Z,47693.0,47693.0,47684.0,47688.0,43.0
2026-04-13T11:21:00Z,47689.0,47695.0,47686.0,47695.0,52.0
2026-04-13T11:22:00Z,47694.0,47698.0,47690.0,47697.0,66.0
2026-04-13T11:23:00Z,47697.0,47701.0,47695.0,47697.0,38.0
2026-04-13T11:24:00Z,47697.0,47704.0,47697.0,47699.0,57.0
2026-04-13T11:25:00Z,47700.0,47713.0,47700.0,47709.0,63.0
2026-04-13T11:26:00Z,47709.0,47712.0,47704.0,47709.0,44.0
2026-04-13T11:27:00Z,47708.0,47713.0,47708.0,47711.0,36.0
2026-04-13T11:28:00Z,47711.0,47714.0,47701.5,47706.0,51.0
2026-04-13T11:29:00Z,47707.0,47709.0,47701.0,47701.0,46.0
2026-04-13T11:30:00Z,47700.0,47707.0,47692.0,47705.0,61.0
2026-04-13T11:31:00Z,47705.0,47707.0,47698.0,47700.0,50.0
2026-04-13T11:32:00Z,47700.0,47700.0,47692.0,47692.0,37.0
2026-04-13T11:33:00Z,47692.0,47694.0,47682.0,47684.0,62.0
2026-04-13T11:34:00Z,47685.0,47686.0,47679.0,47679.0,50.0
2026-04-13T11:35:00Z,47679.0,47685.0,47673.0,47676.0,57.0
2026-04-13T11:36:00Z,47676.0,47676.0,47655.0,47658.0,81.0
2026-04-13T11:37:00Z,47658.0,47668.0,47656.5,47663.0,68.0
2026-04-13T11:38:00Z,47663.0,47665.0,47660.0,47663.0,44.0
2026-04-13T11:39:00Z,47663.0,47664.5,47655.0,47659.0,45.0
2026-04-13T11:40:00Z,47658.0,47660.0,47644.0,47652.0,54.0
2026-04-13T11:41:00Z,47652.0,47652.0,47633.0,47642.0,67.0
2026-04-13T11:42:00Z,47643.0,47647.0,47640.0,47644.0,55.0
2026-04-13T11:43:00Z,47644.0,47653.0,47643.0,47653.0,41.0
2026-04-13T11:44:00Z,47653.0,47655.0,47647.0,47652.0,50.0
2026-04-13T11:45:00Z,47652.0,47653.0,47643.0,47644.0,47.0
2026-04-13T11:46:00Z,47644.0,47654.0,47643.0,47653.0,41.0
2026-04-13T11:47:00Z,47653.0,47664.0,47647.0,47663.0,52.0
2026-04-13T11:48:00Z,47664.0,47667.0,47656.0,47657.0,48.0
2026-04-13T11:49:00Z,47657.0,47659.0,47654.0,47656.0,42.0
2026-04-13T11:50:00Z,47656.0,47656.0,47649.0,47654.0,40.0
2026-04-13T11:51:00Z,47653.0,47653.0,47649.0,47650.0,40.0
2026-04-13T11:52:00Z,47649.0,47660.0,47648.0,47659.0,45.0
2026-04-13T11:53:00Z,47659.0,47663.0,47659.0,47659.0,36.0
2026-04-13T11:54:00Z,47659.0,47671.0,47658.0,47671.0,27.0
2026-04-13T11:55:00Z,47671.0,47676.0,47671.0,47673.0,51.0
2026-04-13T11:56:00Z,47672.0,47675.0,47666.0,47675.0,36.0
2026-04-13T11:57:00Z,47675.0,47677.0,47664.0,47669.0,51.0
2026-04-13T11:58:00Z,47670.0,47675.0,47667.0,47674.0,43.0
2026-04-13T11:59:00Z,47674.0,47674.0,47667.0,47669.0,43.0
2026-04-13T12:00:00Z,47669.0,47707.0,47669.0,47680.0,127.0
2026-04-13T12:01:00Z,47680.0,47690.0,47676.0,47684.0,67.0
2026-04-13T12:02:00Z,47684.0,47686.0,47679.5,47680.0,57.0
2026-04-13T12:03:00Z,47681.0,47696.0,47681.0,47689.0,60.0
2026-04-13T12:04:00Z,47689.0,47689.0,47677.0,47686.0,57.0
2026-04-13T12:05:00Z,47687.0,47694.0,47681.0,47687.0,80.0
2026-04-13T12:06:00Z,47689.0,47690.0,47672.0,47675.0,53.0
2026-04-13T12:07:00Z,47677.0,47684.0,47674.0,47684.0,46.0
2026-04-13T12:08:00Z,47684.0,47687.0,47679.0,47679.0,55.0
2026-04-13T12:09:00Z,47680.0,47680.0,47668.0,47670.0,54.0
2026-04-13T12:10:00Z,47670.0,47670.0,47656.0,47660.0,47.0
2026-04-13T12:11:00Z,47661.0,47662.0,47657.0,47659.0,27.0
2026-04-13T12:12:00Z,47659.0,47662.0,47656.5,47658.0,60.0
2026-04-13T12:13:00Z,47658.0,47660.0,47656.0,47658.0,35.0
2026-04-13T12:14:00Z,47657.0,47664.0,47656.0,47664.0,36.0
2026-04-13T12:15:00Z,47664.0,47671.0,47659.0,47661.0,40.0
2026-04-13T12:16:00Z,47661.0,47671.0,47659.0,47671.0,45.0
2026-04-13T12:17:00Z,47671.0,47680.0,47671.0,47679.0,38.0
2026-04-13T12:18:00Z,47679.0,47682.0,47679.0,47681.0,35.0
2026-04-13T12:19:00Z,47682.0,47688.0,47680.0,47686.0,35.0
2026-04-13T12:20:00Z,47686.0,47689.0,47683.0,47688.0,34.0
2026-04-13T12:21:00Z,47687.0,47690.0,47682.0,47686.0,31.0
2026-04-13T12:22:00Z,47686.0,47686.0,47678.0,47678.0,30.0
2026-04-13T12:23:00Z,47678.0,47682.0,47675.0,47679.0,28.0
2026-04-13T12:24:00Z,47679.0,47679.0,47672.0,47677.0,38.0
2026-04-13T12:25:00Z,47677.0,47679.0,47674.0,47674.0,28.0
2026-04-13T12:26:00Z,47674.0,47677.0,47672.0,47676.0,27.0
2026-04-13T12:27:00Z,47677.0,47682.0,47675.0,47678.0,37.0
2026-04-13T12:28:00Z,47678.0,47679.0,47667.0,47670.0,37.0
2026-04-13T12:29:00Z,47670.0,47670.0,47666.0,47666.0,32.0
2026-04-13T12:30:00Z,47665.5,47666.0,47662.0,47663.0,32.0
