,open,high,low,close,volume
2026-04-15 09:00:00+00:00,0.78068,0.78145,0.78068,0.78128,1570.0
2026-04-15 10:00:00+00:00,0.78128,0.78134,0.78062,0.78107,2175.0
2026-04-15 11:00:00+00:00,0.78107,0.78111,0.77984,0.78083,1694.0
2026-04-15 12:00:00+00:00,0.78083,0.78208,0.78069,0.78167,2909.0
2026-04-15 13:00:00+00:00,0.78167,0.78267,0.78142,0.78253,2897.0
2026-04-15 14:00:00+00:00,0.78253,0.78315,0.78222,0.78251,2749.0
2026-04-15 15:00:00+00:00,0.78251,0.78294,0.78215,0.78238,2681.0
2026-04-15 16:00:00+00:00,0.78238,0.78239,0.78126,0.78193,2963.0
2026-04-15 17:00:00+00:00,0.78193,0.78209,0.78064,0.78154,3526.0
2026-04-15 18:00:00+00:00,0.78154,0.78154,0.78142,0.78152,147.0
2026-04-16 02:00:00+00:00,0.78139,0.78149,0.78119,0.78128,740.0
2026-04-16 03:00:00+00:00,0.7813,0.7815,0.78099,0.781,1498.0
2026-04-16 04:00:00+00:00,0.781,0.78159,0.78085,0.7813,1652.0
2026-04-16 05:00:00+00:00,0.7813,0.78134,0.78035,0.78039,1193.0
2026-04-16 06:00:00+00:00,0.78039,0.7805,0.77985,0.78044,1816.0
2026-04-16 07:00:00+00:00,0.78044,0.78077,0.7804,0.78077,1068.0
2026-04-16 08:00:00+00:00,0.7808,0.78132,0.78067,0.7812,1476.0
2026-04-16 09:00:00+00:00,0.7812,0.78157,0.7807,0.78078,1893.0
2026-04-16 10:00:00+00:00,0.78077,0.7822,0.78061,0.78205,2354.0
2026-04-16 11:00:00+00:00,0.78205,0.78305,0.78188,0.78238,2127.0
2026-04-16 12:00:00+00:00,0.78238,0.78398,0.78232,0.78374,1912.0
2026-04-16 13:00:00+00:00,0.78374,0.78433,0.78366,0.78385,1318.0
2026-04-16 14:00:00+00:00,0.78385,0.78385,0.78309,0.78325,1685.0
2026-04-16 15:00:00+00:00,0.78325,0.78384,0.78313,0.7835,1230.0
