,open,high,low,close,volume
2026-04-15 09:10:00+00:00,0.78068,0.78084,0.78068,0.78083,20.0
2026-04-15 09:11:00+00:00,0.78083,0.78087,0.78081,0.78086,20.0
2026-04-15 09:12:00+00:00,0.78086,0.78093,0.78085,0.78086,19.0
2026-04-15 09:13:00+00:00,0.78086,0.781,0.78086,0.78099,38.0
2026-04-15 09:14:00+00:00,0.78099,0.78109,0.78097,0.78103,32.0
2026-04-15 09:15:00+00:00,0.78103,0.78117,0.78102,0.78109,40.0
2026-04-15 09:16:00+00:00,0.78109,0.78112,0.78106,0.78111,27.0
2026-04-15 09:17:00+00:00,0.78111,0.78117,0.7811,0.78117,29.0
2026-04-15 09:18:00+00:00,0.78117,0.78131,0.78117,0.78131,73.0
2026-04-15 09:19:00+00:00,0.78131,0.78131,0.78123,0.78124,38.0
2026-04-15 09:20:00+00:00,0.78124,0.78132,0.78123,0.78126,22.0
2026-04-15 09:21:00+00:00,0.78126,0.78128,0.78122,0.78127,26.0
2026-04-15 09:22:00+00:00,0.78129,0.7813,0.78117,0.78118,33.0
2026-04-15 09:23:00+00:00,0.78118,0.7812,0.78113,0.78114,25.0
2026-04-15 09:24:00+00:00,0.78114,0.78117,0.78107,0.78108,36.0
2026-04-15 09:25:00+00:00,0.78107,0.78113,0.78103,0.78108,52.0
2026-04-15 09:26:00+00:00,0.78106,0.78109,0.78104,0.78108,31.0
2026-04-15 09:27:00+00:00,0.78108,0.78109,0.78107,0.78107,22.0
2026-04-15 09:28:00+00:00,0.78107,0.78112,0.78101,0.78111,22.0
2026-04-15 09:29:00+00:00,0.78111,0.78111,0.78107,0.7811,36.0
2026-04-15 09:30:00+00:00,0.7811,0.78111,0.78102,0.7811,60.0
2026-04-15 09:31:00+00:00,0.7811,0.78132,0.78109,0.78127,40.0
2026-04-15 09:32:00+00:00,0.78127,0.78138,0.78127,0.78135,50.0
2026-04-15 09:33:00+00:00,0.78135,0.78135,0.78111,0.78115,52.0
2026-04-15 09:34:00+00:00,0.78115,0.78131,0.78114,0.7813,33.0
2026-04-15 09:35:00+00:00,0.7813,0.78131,0.78119,0.78121,28.0
2026-04-15 09:36:00+00:00,0.78121,0.78122,0.78114,0.78114,16.0
2026-04-15 09:37:00+00:00,0.78114,0.78119,0.78109,0.78114,29.0
2026-04-15 09:38:00+00:00,0.78114,0.78129,0.78114,0.78127,41.0
2026-04-15 09:39:00+00:00,0.78127,0.78131,0.78124,0.78131,50.0
2026-04-15 09:40:00+00:00,0.78131,0.78138,0.7813,0.78138,41.0
2026-04-15 09:41:00+00:00,0.78138,0.78138,0.78132,0.78133,18.0
2026-04-15 09:42:00+00:00,0.78133,0.78145,0.78132,0.78135,29.0
2026-04-15 09:43:00+00:00,0.78135,0.78136,0.78128,0.78132,16.0
2026-04-15 09:44:00+00:00,0.78132,0.78134,0.78128,0.78129,15.0
2026-04-15 09:45:00+00:00,0.78129,0.78134,0.78125,0.78127,23.0
2026-04-15 09:46:00+00:00,0.78127,0.78135,0.78126,0.78126,19.0
2026-04-15 09:47:00+00:00,0.78126,0.7813,0.78124,0.78125,14.0
2026-04-15 09:48:00+00:00,0.78125,0.78127,0.78119,0.78124,28.0
2026-04-15 09:49:00+00:00,0.78124,0.78128,0.78116,0.78117,32.0
2026-04-15 09:50:00+00:00,0.78117,0.78125,0.78117,0.78124,14.0
2026-04-15 09:51:00+00:00,0.78124,0.78129,0.78121,0.78121,35.0
2026-04-15 09:52:00+00:00,0.78121,0.78121,0.78104,0.78116,33.0
2026-04-15 09:53:00+00:00,0.78116,0.78122,0.78115,0.78121,14.0
2026-04-15 09:54:00+00:00,0.78121,0.78126,0.78118,0.78125,26.0
2026-04-15 09:55:00+00:00,0.78125,0.7813,0.78122,0.78126,21.0
2026-04-15 09:56:00+00:00,0.78126,0.78127,0.7812,0.78121,16.0
2026-04-15 09:57:00+00:00,0.78121,0.78128,0.78118,0.78123,32.0
2026-04-15 09:58:00+00:00,0.78123,0.78125,0.78111,0.78115,52.0
2026-04-15 09:59:00+00:00,0.78115,0.7813,0.78113,0.78128,52.0
2026-04-15 10:00:00+00:00,0.78128,0.78134,0.78116,0.78117,61.0
2026-04-15 10:01:00+00:00,0.78117,0.78125,0.78113,0.78114,44.0
2026-04-15 10:02:00+00:00,0.78114,0.78116,0.78095,0.78095,51.0
2026-04-15 10:03:00+00:00,0.78095,0.781,0.78085,0.78087,36.0
2026-04-15 10:04:00+00:00,0.78087,0.7809,0.78081,0.78087,47.0
2026-04-15 10:05:00+00:00,0.78089,0.78089,0.7808,0.78088,52.0
2026-04-15 10:06:00+00:00,0.78088,0.7811,0.78088,0.78095,61.0
2026-04-15 10:07:00+00:00,0.78097,0.78115,0.78095,0.78115,28.0
2026-04-15 10:08:00+00:00,0.78115,0.78122,0.78113,0.78121,47.0
2026-04-15 10:09:00+00:00,0.78121,0.78128,0.78121,0.78126,34.0
2026-04-15 10:10:00+00:00,0.78126,0.78128,0.7811,0.78112,45.0
2026-04-15 10:11:00+00:00,0.78112,0.78115,0.7811,0.78114,49.0
2026-04-15 10:12:00+00:00,0.78114,0.78119,0.78104,0.7811,48.0
2026-04-15 10:13:00+00:00,0.7811,0.78115,0.78108,0.78111,61.0
2026-04-15 10:14:00+00:00,0.78111,0.78113,0.781,0.78103,35.0
2026-04-15 10:15:00+00:00,0.78103,0.78119,0.78099,0.78117,45.0
2026-04-15 10:16:00+00:00,0.78117,0.78125,0.78115,0.78115,37.0
2026-04-15 10:17:00+00:00,0.78115,0.78124,0.78112,0.78115,44.0
2026-04-15 10:18:00+00:00,0.78115,0.78131,0.78115,0.78128,46.0
2026-04-15 10:19:00+00:00,0.78128,0.78129,0.78109,0.7811,36.0
2026-04-15 10:20:00+00:00,0.7811,0.7811,0.78096,0.78099,24.0
2026-04-15 10:21:00+00:00,0.78099,0.78104,0.78098,0.781,28.0
2026-04-15 10:22:00+00:00,0.781,0.78105,0.78094,0.78096,26.0
2026-04-15 10:23:00+00:00,0.78096,0.78103,0.78096,0.781,29.0
2026-04-15 10:24:00+00:00,0.781,0.781,0.78087,0.78094,20.0
2026-04-15 10:25:00+00:00,0.78094,0.78111,0.78094,0.78106,47.0
2026-04-15 10:26:00+00:00,0.78106,0.78111,0.78106,0.78106,28.0
2026-04-15 10:27:00+00:00,0.78106,0.78116,0.78106,0.78113,31.0
2026-04-15 10:28:00+00:00,0.78113,0.78113,0.78105,0.78107,15.0
2026-04-15 10:29:00+00:00,0.78107,0.78108,0.78096,0.78096,19.0
